Commercial,Ville,Région,Client,Date de commande,Article,Quantité,Prix,Chiffre d'affaire,Bénéfice
Sara Snyder,Minnesota,Est,Raymond Young,1/1/2016,Junk,20,"12,42","74,52",40
Sara Snyder,New York,Est,Helen Dean,1/1/2016,Junk,7,"12,42","86,94",14
Diane Gonzalez,Washington,Ouest,Shirley Chavez,1/1/2016,Stuff,2,"16,32","32,64",6
Sara Snyder,Indiana,Est,Brian Ryan,1/1/2016,Junk,1,"12,42","12,42",2
Sara Snyder,Indiana,Est,Benjamin Willis,1/1/2016,Things,3,"17,83","53,49","10,5"
Patrick Graham,Washington,Ouest,Annie Jenkins,1/1/2016,Widgets,6,"53,35","320,1",36
Sara Snyder,New York,Est,Christina Little,1/1/2016,Widgets,6,"53,35","320,1",36
Patrick Graham,Washington,Ouest,Mary Green,1/1/2016,Stuff,9,"16,32","146,88",27
Randy Watson,New York,Est,Ruby Matthews,2/1/2016,Things,6,"17,83","106,98",21
Sara Snyder,New York,Est,Christopher Oliver,2/1/2016,Junk,8,"12,42","99,36",16
Randy Watson,Minnesota,Est,Kathryn Fox,2/1/2016,Junk,9,"12,42","111,78",18
Patrick Graham,Oregon,Ouest,Carl Lawson,2/1/2016,Junk,4,"12,42","49,68",8
Sara Snyder,Minnesota,Est,Walter Kennedy,2/1/2016,Junk,1,"12,42","12,42",2
Patrick Graham,Washington,Ouest,Pamela Alexander,2/1/2016,Junk,4,"12,42","49,68",8
Sara Snyder,New York,Est,Gloria Harper,2/1/2016,Stuff,8,"16,32","130,56",24
Randy Watson,New York,Est,Harold Hunter,2/1/2016,Widgets,10,"53,35","533,5",60
Patrick Graham,Washington,Ouest,Judy Sanchez,2/1/2016,Widgets,7,"53,35","373,45",42
Diane Gonzalez,Washington,Ouest,Christine Wallace,2/1/2016,Junk,4,"12,42","49,68",8
Sara Snyder,Minnesota,Est,Lori Shaw,2/1/2016,Stuff,7,"16,32","114,24",21
Sara Snyder,New York,Est,Sandra Hicks,2/1/2016,Widgets,1,"53,35","53,35",6
Randy Watson,Minnesota,Est,Roger Gomez,2/1/2016,Stuff,7,"16,32","114,24",21
Sara Snyder,Indiana,Est,Kimberly Coleman,2/1/2016,Things,1,"17,83","17,83","3,5"
Frances Warren,New York,Est,Heather Andrews,2/1/2016,Junk,7,"12,42","86,94",14
Patrick Graham,Oregon,Ouest,Rachel Harris,3/1/2016,Junk,2,"12,42","24,84",4
Patrick Graham,Washington,Ouest,Susan Jacobs,3/1/2016,Widgets,9,"53,35","480,15",54
Sara Snyder,Minnesota,Est,Gary Young,3/1/2016,Things,3,"17,83","53,49","10,5"
Randy Watson,New York,Est,Anthony Berry,3/1/2016,Things,9,"17,83","160,47","31,5"
Patrick Graham,California,Ouest,Joan Robinson,3/1/2016,Junk,2,"12,42","24,84",4
Sara Snyder,New York,Est,Frank Ramos,3/1/2016,Stuff,1,"16,32","16,32",3
Diane Gonzalez,Oregon,Ouest,Raymond Matthews,3/1/2016,Junk,1,"12,42","12,42",2
Diane Gonzalez,California,Ouest,Mary Rose,3/1/2016,Things,10,"17,83","178,3",35
Patrick Graham,Washington,Ouest,Jerry Collins,3/1/2016,Things,9,"17,83","160,47","31,5"
Randy Watson,Indiana,Est,Randy Willis,3/1/2016,Things,3,"17,83","53,49","10,5"
Diane Gonzalez,Washington,Ouest,Denise Henry,3/1/2016,Widgets,9,"53,35","480,15",54
Sara Snyder,New York,Est,Albert Miller,3/1/2016,Junk,6,"12,42","74,52",12
